url,year,title,reviews,tomatometer,av_rating,audience,box_office,director,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6
/m/shining,1980,The Shining,67,87.0,8.4,93,NA,Stanley Kubrick,Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers,Barry Nelson,Philip Stone
/m/1009470-hells_angels_on_wheels,1967,Hell's Angels on Wheels,7,29.0,4.4,37,NA,Richard Rush,Adam Roarke,Sabrina Scharf,Jack Nicholson,Sabrina Scharf,Jana Taylor,John Garwood
/m/carnal_knowledge,1971,Carnal Knowledge,27,89.0,7.7,71,NA,Mike Nichols,Jack Nicholson,Art Garfunkel,Candice Bergen,Ann-Margret,Carol Kane,Rita Moreno
/m/hoffa,1992,Hoffa,21,52.0,5.5,59,NA,Danny DeVito,Jack Nicholson,Danny DeVito,Armand Assante,J.T. Walsh,John C. Reilly,Kevin Anderson
/m/heartburn,1986,Heartburn,15,47.0,5.5,47,NA,Mike Nichols,Meryl Streep,Jack Nicholson,Jeff Daniels,Maureen Stapleton,Stockard Channing,Richard Masur
/m/departed,2006,The Departed,266,91.0,8.2,94,132300000,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,Martin Sheen,Ray Winstone
/m/reds,1981,Reds,35,94.0,7.9,83,NA,Warren Beatty,Warren Beatty,Diane Keaton,Maureen Stapleton,Jack Nicholson,Edward Herrmann,Jerzy Kosinski
/m/1053942-wolf,1994,Wolf,50,60.0,5.9,42,NA,Mike Nichols,Jack Nicholson,Michelle Pfeiffer,James Spader,Kate Nelligan,Richard Jenkins,Christopher Plummer
/m/king_of_marvin_gardens,1972,The King of Marvin Gardens,28,71.0,6.8,58,NA,Bob Rafelson,Jack Nicholson,Bruce Dern,Ellen Burstyn,Julia Anne Robinson,Scatman Crothers,Charles Lavine
/m/bucket_list,2007,The Bucket List,170,40.0,5.1,77,93500000,Rob Reiner,Jack Nicholson,Morgan Freeman,Sean Hayes,Beverly Todd,Alfonso Freeman,Rowena King
/m/1019761-1019761-st_valentines_day_massacre,1967,Saint Valentine's Day Massacre,7,100.0,6.5,68,NA,Roger Corman,Jason Robards,Jean Hale,George Segal,Ralph Meeker,Clint Ritchie,Frank Silvera
/m/evening_star,1996,The Evening Star,26,23.0,4.2,64,NA,Robert Harling,Shirley MacLaine,Bill Paxton,Juliette Lewis,Miranda Richardson,Ben Johnson,Scott Wolf
/m/1021648-tommy,1975,Tommy,26,77.0,6.8,71,NA,Ken Russell,Roger Daltrey,Ann-Margret,Oliver Reed,Elton John,Tina Turner,Eric Clapton
/m/about_schmidt,2002,About Schmidt,200,85.0,7.7,74,65000000,Alexander Payne,Jack Nicholson,Kathy Bates,Hope Davis,Dermot Mulroney,June Squibb,Howard Hesseman
/m/mars_attacks,1996,Mars Attacks,63,52.0,5.9,53,NA,Tim Burton,Jack Nicholson,Glenn Close,Annette Bening,Pierce Brosnan,Martin Short,Sarah Jessica Parker
/m/1017222-raven,1963,The Raven  (1963),12,92.0,6.6,64,NA,Roger Corman,Vincent Price,Boris Karloff,Peter Lorre,Hazel Court,Jack Nicholson,Olive Sturgess
/m/on_a_clear_day_you_can_see_forever,1970,On a Clear Day You Can See Forever,8,100.0,6.3,74,NA,"Vincente Minnelli, Vicente Minelli",Barbra Streisand,Yves Montand,Bob Newhart,Jack Nicholson,Larry Blyden,Simon Oakland
/m/missouri_breaks,1976,The Missouri Breaks,19,79.0,6.6,60,NA,Arthur Penn,Marlon Brando,Jack Nicholson,Randy Quaid,Kathleen Lloyd,Frederic Forrest,Harry Dean Stanton
